Author	Authority	ISNI	QA_Status
Spring, Ian,		https://isni.org/isni/0000000047075086	
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Kennedy, Grace,	LCNACO|Grace Kennedy	https://isni.org/isni/000000008078321X	ISNIQAPASS
Thomas,		https://isni.org/isni/0000000454943194	
Ramsay, Allan,	NLS|Allan Ramsay	https://isni.org/isni/0000000116764943	ISNIQAPASS
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515	ISNIQAPASS
Ramsay,	LCNACO|Ramsay Chevalier	https://isni.org/isni/0000000108814453	ISNIQAPASS
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Ferguson, James,	NLS|James Ferguson	https://isni.org/isni/0000000121254104	ISNIQAPASS
Brewster, David,	LCNACO|David Brewster	https://isni.org/isni/0000000108636431	ISNIQAPASS
Ferguson, James,	NLS|James Ferguson	https://isni.org/isni/0000000121254104	ISNIQAPASS
Jameson, Robert,	NLS|Robert Jameson	https://isni.org/isni/0000000110426222	ISNIQAPASS
Mackay, Andrew,	LCNACO|Andrew Mackay	https://isni.org/isni/0000000054338550	ISNIQAPASS
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642	ISNIQAPASS
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642	ISNIQAPASS
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642	ISNIQAPASS
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270	ISNIQAPASS
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270	ISNIQAPASS
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270	ISNIQAPASS
Smollett, T.	LCNACO|T Smollett	https://isni.org/isni/000000012281277X	ISNIQAPASS
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Tranter, Nigel G.,			
Stewart, Mary,	LCNACO|Mary Stewart	https://isni.org/isni/0000000109333029	ISNIQAPASS
Leighton, Robert,	LCNACO|Robert Leighton	https://isni.org/isni/0000000120962870	ISNIQAPASS
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Tey, Josephine,			
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821	ISNIQAPASS
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821	ISNIQAPASS
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821	ISNIQAPASS
