Author	Authority	ISNI
Ferguson, James,	NLS|James Ferguson	https://isni.org/isni/0000000121254104
Brewster, David,	LCNACO|David Brewster	https://isni.org/isni/0000000108636431
Ferguson, James,	NLS|James Ferguson	https://isni.org/isni/0000000121254104
Jameson, Robert,	NLS|Robert Jameson	https://isni.org/isni/0000000110426222
Mackay, Andrew,	LCNACO|Andrew Mackay	https://isni.org/isni/0000000054338550
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000118507270
Smollett, T.	LCNACO|T Smollett	https://isni.org/isni/000000012281277X
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491
Tranter, Nigel G.,		
Stewart, Mary,	LCNACO|Mary Stewart	https://isni.org/isni/0000000109333029
Leighton, Robert,	LCNACO|Robert Leighton	https://isni.org/isni/0000000120962870
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Tey, Josephine,		
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235
Hudson, Kerry		https://isni.org/isni/0000000383958566
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399
Miller, William,	LCNACO|William Miller	https://isni.org/isni/0000000067000399
